county_code,total_apps,approved,approval_rate_pct
6037.0,51305,31105,60.6
6073.0,24676,14923,60.5
6065.0,24086,14582,60.5
6059.0,22070,13527,61.3
6071.0,17685,10637,60.1
6067.0,15530,10103,65.1
6085.0,14132,9267,65.6
6001.0,13755,8892,64.6
6013.0,11392,7555,66.3
6077.0,8227,5099,62.0
6019.0,7186,4595,63.9
6029.0,6979,4361,62.5
6061.0,6865,4680,68.2
6111.0,5889,3784,64.3
6081.0,4776,3338,69.9
6075.0,4638,3319,71.6
6097.0,4070,2730,67.1
6095.0,3987,2685,67.3
6099.0,3878,2455,63.3
6107.0,2478,1570,63.4
6017.0,2477,1635,66.0
6079.0,2464,1600,64.9
6083.0,2199,1407,64.0
6053.0,2039,1251,61.4
6041.0,2013,1423,70.7
6007.0,1831,1158,63.2
6047.0,1825,1144,62.7
6089.0,1807,1142,63.2
6113.0,1712,1180,68.9
6087.0,1580,1064,67.3
6039.0,1486,963,64.8
6057.0,1412,947,67.1
6055.0,1081,664,61.4
6115.0,930,599,64.4
6023.0,850,537,63.2
6109.0,719,459,63.8
6025.0,710,416,58.6
6009.0,680,437,64.3
6031.0,654,409,62.5
6033.0,647,388,60.0
6069.0,593,414,69.8
6045.0,573,330,57.6
6101.0,561,363,64.7
6103.0,545,358,65.7
6005.0,507,349,68.8
6051.0,341,233,68.3
6093.0,339,211,62.2
6063.0,273,185,67.8
6021.0,204,140,68.6
6015.0,196,112,57.1
6043.0,189,108,57.1
6035.0,185,114,61.6
6027.0,138,81,58.7
6105.0,90,58,64.4
6011.0,85,68,80.0
6049.0,58,37,63.8
6003.0,41,26,63.4
6091.0,21,18,85.7
